,dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name,xs,l,w,h,lbs
1337,15.8 x 5.9 x 9.1 inches,12.3 ounces,http://www.amazon.com/SNOWHALE-Cycling-Backpack-Water-resistant-Daypack/dp/B00JUDTUA4,22.99,210.0,Outdoor Recreation,Sports & Outdoors,3589.0,SNOWHALE Cycling Hiking Backpack Water-resistant Daypack FKC0618,2,15.8,5.9,9.1,0.76875
1339,1 x 1 x 1 inches,0.3 ounces,http://www.amazon.com/CamelBak-HydroBak-Hydrobak-50oz-Black/dp/B004LKO3EY,36.8,99.0,Outdoor Recreation,Sports & Outdoors,3519.0,CamelBak Hydrobak 50oz Black,2,1,1,1,0.01875
1368,17 x 1.5 x 8 inches,1 pounds,http://www.amazon.com/Hydration-Bladder-Climbing-Survival-Backpack/dp/B00MGSKSXS,19.99,42.0,Outdoor Recreation,Sports & Outdoors,3882.0,US Army 3L 3 Liter (100 ounce) Hydration Pack Bladder Water Bag Pouch Hiking Climbing Survival Outdoor Backpack,2,17,1.5,8,1.0
1465,8 x 6 x 3 inches,9.6 ounces,http://www.amazon.com/ICEtrekkers-Shoe-Diamond-Grip-Pair/dp/B002C4BU4M,37.95,161.0,Outdoor Recreation,Sports & Outdoors,7485.0,ICEtrekkers Shoe Diamond Grip (1 Pair),2,8,6,3,0.6
1478,1 x 10 x 4 inches,3.2 ounces,http://www.amazon.com/Black-Diamond-Half-Finger-Climbing-Gloves/dp/B00L31X1RY,15.95,56.0,Outdoor Recreation,Sports & Outdoors,5811.0,Black Diamond Crag Half-Finger Climbing Gloves,2,1,10,4,0.2
1566,2 x 13 x 5 inches,3.2 ounces,http://www.amazon.com/Black-Diamond-Crag-Climbing-Gloves/dp/B00L31X0SO,19.95,47.0,Outdoor Recreation,Sports & Outdoors,9742.0,Black Diamond Crag Climbing Gloves,2,2,13,5,0.2
1642,3 x 2.5 x 1 inches,4.8 ounces,http://www.amazon.com/Zippo-Where-Eagles-Dare-Lighter/dp/B000K2PZ4O,21.0,165.0,Household Supplies,Health & Personal Care,2962.0,Zippo Where Eagles Dare Lighter,2,3,2.5,1,0.3
1647,1.5 x 0.5 x 2.2 inches,0.3 ounces,http://www.amazon.com/Zippo-Polish-Filigree-Windproof-Lighter/dp/B00DZ1ZZJC,16.32,60.0,Household Supplies,Health & Personal Care,5007.0,Zippo High Polish Chrome Filigree Windproof Lighter,2,1.5,0.5,2.2,0.01875
1668,12 x 5 x 2 inches,4.8 ounces,http://www.amazon.com/MSR-GroundHog-Stakes-8-Pack/dp/B007D21TB2,19.95,390.0,Outdoor Recreation,Sports & Outdoors,1875.0,MSR - GroundHog Stakes - 8 Pack,2,12,5,2,0.3
1680,12.5 x 5.8 x 2.8 inches,15.2 ounces,http://www.amazon.com/Frontiersman-Bear-Spray-Hip-Holster/dp/B000H7N26A,39.99,174.0,Outdoor Recreation,Sports & Outdoors,2570.0,Frontiersman Bear Spray with Hip Holster - Maximum Strength & Maximum Range - 35 Feet (9.2 oz),2,12.5,5.8,2.8,0.95
1694,2.2 x 0.9 x 3.2 inches,2.1 ounces,http://www.amazon.com/Zippo-Black-Matte-Pocket-Lighter/dp/B000B5H5SE,15.61,237.0,Household Supplies,Health & Personal Care,1976.0,Zippo Logo Black Matte Pocket Lighter,2,2.2,0.9,3.2,0.13125
1743,5 x 3 x 9.5 inches,11.2 ounces,http://www.amazon.com/Frontiersman-Bear-Spray-Hip-Holster/dp/B002E6VAHK,32.09,222.0,Outdoor Recreation,Sports & Outdoors,1292.0,Frontiersman Bear Spray with Hip Holster - Maximum Strength & 30-foot Range (7.9 oz),2,5,3,9.5,0.7
1752,6 x 7.8 x 2.5 inches,12 ounces,http://www.amazon.com/Lifeline-85-Piece-Large-Shell-First/dp/B00GBMUANI,15.73,106.0,Outdoor Recreation,Sports & Outdoors,809.0,Lifeline 85-Piece Large Hard Shell First Aid Kit,2,6,7.8,2.5,0.75
1769,11 x 3 x 4 inches,1 pounds,http://www.amazon.com/Ultimate-Survival-Technologies-BASE-Tube/dp/B00JW64XGA,34.29,71.0,Outdoor Recreation,Sports & Outdoors,9510.0,Ultimate Survival Technologies BASE Tube Tarp 1.0,2,11,3,4,1.0
1770,85 x 83 x 0.1 inches,15.2 ounces,http://www.amazon.com/Weanas%C2%AE-Outdoor-Thickened-Camping-Groundsheet/dp/B00P299ILQ,19.99,15.0,Outdoor Recreation,Sports & Outdoors,9394.0,Weanas® 2-3-4 Person Outdoor Thickened Oxford Fabric Camping Shelter Tent Tarp Canopy Cover Tent Groundsheet Camping Blanket Mat,2,85,83,0.1,0.95
4870,13 x 1.8 x 4.8 inches,9.6 ounces,http://www.amazon.com/QLT-MARSHALLTOWN-JR008-13-Inch-Roller/dp/B000CP0QFC,15.65,21.0,Sports & Fitness,Sports & Outdoors,7242.0,QLT By MARSHALLTOWN JR008 13-Inch J Roller,2,13,1.8,4.8,0.6
4888,36 x 6 x 6 inches,14.4 ounces,http://www.amazon.com/Elite-Molded-Roller-Round-Popular/dp/B000HLLREA,24.75,268.0,Sports & Fitness,Sports & Outdoors,5695.0,"PB Elite Molded Foam Roller 3' Long, 6"" Round (Most Popular Size)",2,36,6,6,0.9
4894,36 x 6 x 6 inches,14.4 ounces,http://www.amazon.com/HealthyLifeStyle-Roller-Black-Density-Elite/dp/B00MLF9OO0,23.95,241.0,Sports & Fitness,Sports & Outdoors,1647.0,"HealthyLifeStyle Foam Roller, Black High Density Foam Roller, Elite Extra Firm,  6"" x 36"" Round",2,36,6,6,0.9
4898,17.8 x 1.5 x 1.5 inches,10.4 ounces,http://www.amazon.com/The-Muscle-Stick-Myofascial-Guaranteed/dp/B00QH8NTHA,18.99,96.0,Sports & Fitness,Sports & Outdoors,683.0,The Muscle Stick - Massage Roller -Better Than Foam Roller - Deep Tissue Natural Muscle Recovery - Trigger Point Relief Of Myofascial Soreness - No Flex Perfect Pressure - Guaranteed - Blue,2,17.8,1.5,1.5,0.65
4905,17.8 x 1.5 x 1.5 inches,11.2 ounces,http://www.amazon.com/The-Muscle-Stick-Myofascial-Guaranteed/dp/B00RKGSHGG,18.99,56.0,Sports & Fitness,Sports & Outdoors,9427.0,The Muscle Stick - Massage Roller -Better Than Foam Roller - Deep Tissue Natural Muscle Recovery - Trigger Point Relief Of Myofascial Soreness - No Flex Perfect Pressure - Guaranteed - Pink,2,17.8,1.5,1.5,0.7
