,dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name,xs,l,w,h,lbs
8193,38.9 x 6.8 x 0.9 inches,10.6 ounces,http://www.amazon.com/Sword-Art-Online-Elucidator-Replica/dp/B00Q3JEKT4,25.45,59.0,Sports & Fitness,Sports & Outdoors,4992.0,"Sword Art Online: Kirito Elucidator 43"" Larp Foam Replica Sword",2,38.9,6.8,0.9,0.6625
8220,4 x 3 x 3 inches,0.3 ounces,http://www.amazon.com/Hayabusa-Perfect-Stretch-Hand-Wraps/dp/B00F4MPEJG,19.17,123.0,Sports & Fitness,Sports & Outdoors,7496.0,Hayabusa Perfect Stretch Hand Wraps,2,4,3,3,0.01875
8405,5 x 5 x 1 inches,5 ounces,http://www.amazon.com/Zenana-Womens-Fold-Athletic-Shorts/dp/B00E0QTDJY,22.27,370.0,Sports & Fitness,Sports & Outdoors,2974.0,Zenana Womens Fold Over Athletic Yoga Shorts,2,5,5,1,0.3125
8422,72 x 26.5 x 0.1 inches,1.6 ounces,http://www.amazon.com/Manduka-eQua-Yoga-Mat-Towel/dp/B001OTZTPC,25.97,247.0,Sports & Fitness,Sports & Outdoors,3615.0,Manduka eQua Yoga Mat Towel.,2,72,26.5,0.1,0.1
8424,11 x 7 x 2 inches,4.8 ounces,http://www.amazon.com/Manduka-GO-Play-2-0-Carrier/dp/B012VJADSQ,28.0,38.0,Sports & Fitness,Sports & Outdoors,3538.0,Manduka GO Play 2.0 Mat Carrier,2,11,7,2,0.3
8706,9.8 x 5 x 2 inches,6.4 ounces,http://www.amazon.com/Everlast-EverGel-Hand-Wraps/dp/B000JF6QU4,21.19,423.0,Sports & Fitness,Sports & Outdoors,1975.0,Everlast EverGel Hand Wraps,2,9.8,5,2,0.4
9642,9.5 x 7.5 x 2 inches,8 ounces,http://www.amazon.com/Shock-Doctor-Gel-Max-Mouthguard/dp/B00181PDGG,24.61,69.0,Sports & Fitness,Sports & Outdoors,9323.0,Shock Doctor Gel Max Mouthguard,2,9.5,7.5,2,0.5
10235,10.5 x 5.5 x 2 inches,1 pounds,http://www.amazon.com/Everlast-Pro-Style-Grappling-Gloves/dp/B003U3OOYC,15.5,196.0,Sports & Fitness,Sports & Outdoors,2340.0,Everlast Pro Style MMA Grappling Gloves,2,10.5,5.5,2,1.0
10760,3 x 9 x 12 inches,7.2 ounces,http://www.amazon.com/Revgear-Square-Target-for-Kids/dp/B005VY2T1S,24.99,1.0,Sports & Fitness,Sports & Outdoors,1146.0,Revgear Square Target for Kids,2,3,9,12,0.45
11205,7 x 7 x 7 inches,4.8 ounces,http://www.amazon.com/I-Flex-Jr-Stretch-Unit/dp/B001HZCYDI,16.99,90.0,Sports & Fitness,Sports & Outdoors,3687.0,I-Flex Jr Stretch Unit,2,7,7,7,0.3
