dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name
1.4 x 1.1 x 0.8 inches,4.8 ounces,http://www.amazon.com/Motorcraft-FL2016-Oil-Filter/dp/B000ARPVQ6,$18.69,109,Replacement Parts,Automotive,409,Motorcraft FL2016 Oil Filter
20 x 21 x 19 inches,40 pounds,http://www.amazon.com/Seating-Professional-AirGrid-Adjustable-Managers/dp/B000PWGZOI,$175.34,647,Furniture,Home & Kitchen,"1,061","SPACE Seating Professional AirGrid Dark Back and Padded Black Eco Leather Seat, 2-to-1 Synchro Tilt Control, Adjustable Arms and Tilt Tension with Nylon Base Managers Chair"
4 x 0.5 x 3 inches,12.8 ounces,http://www.amazon.com/Metra-70-1771-Harness-Lincoln-1998-Up/dp/B0002BEWZQ,$3.75,483,Car & Vehicle Electronics,Electronics,,"Metra 70-1771 Radio Wiring Harness for Ford/Lincoln/Mazda 1998-Up into Car, 16 Pin"
9 x 1 x 9 inches,6.4 ounces,http://www.amazon.com/CF10132-Fresh-Breeze-Cabin-Filter/dp/B0010E1LYY,$10.27,312,Replacement Parts,Automotive,326,FRAM CF10132 Fresh Breeze Cabin Air Filter
4 x 0.5 x 3 inches,12.8 ounces,http://www.amazon.com/Metra-70-1761-Wiring-Harness-Speaker/dp/B0002BEQJ8,$4.79,822,Car & Vehicle Electronics,Electronics,,Metra 70-1761 Radio Wiring Harness For Toyota 87-Up Power 4 Speaker
28.7 x 2.7 x 1.2 inches,8.8 ounces,http://www.amazon.com/Bosch-26A-ICON-Wiper-Blade/dp/B005JU5W54,$19.47,"1,675",Replacement Parts,Automotive,108,"Bosch 26A ICON Wiper Blade - 26"" (Pack of 1)"
3 x 1 x 3 inches,1.9 ounces,http://www.amazon.com/Battery-Tender-081-0069-6-Terminal-Disconnect/dp/B000NCOKZQ,$5.20,"1,178",Tools & Equipment,Automotive,69,Battery Tender 081-0069-6 Ring Terminal Harness with Black Fused 2-Pin Quick Disconnect Plug
15.5 x 1.2 x 8 inches,8 ounces,http://www.amazon.com/Metra-Electronics-95-2001-Installation-Vehicles/dp/B003D3NEEU,$10.06,521,Replacement Parts,Automotive,248,Metra Electronics 95-2001 Double DIN Installation Dash Kit for Select 1990-Up GM Vehicles
11.2 x 8 x 13.5 inches,18 pounds,http://www.amazon.com/Stanley-J5C09-Starter-Built-Compressor/dp/B002X6VXL4,$79.00,973,Tools & Equipment,Automotive,77,Stanley J5C09 1000 Peak Amp Jump Starter with Built in Compressor
9.3 x 5.1 x 2.9 inches,1.4 pounds,http://www.amazon.com/Black-Decker-BM3B-Battery-Maintainer/dp/B0051D3MP6,$18.35,"1,274",Tools & Equipment,Automotive,59,Black & Decker BM3B 6V and 12V Battery Charger / Maintainer
1.4 x 0.6 x 2.4 inches,0.6 ounces,http://www.amazon.com/Powerful-Omaker-Intelligent-Aluminum-Port-Tarnish/dp/B00OZ5OIFE,$13.99,975,Replacement Parts,Automotive,473,[Most Powerful Car Charger Ever]Omaker Intelligent 6.6A / 33W Premium Aluminum 3 USB Car Charger With Smart Sharing IC for Each USB Port-Tarnish
5 x 3.5 x 1.5 inches,7.2 ounces,http://www.amazon.com/Cycle-Carburetor-Adjustment-Includes-530035560/dp/B00DQADGUM,$16.99,763,Replacement Parts,Automotive,87,2 Cycle Carburetor Adjustment Kit Includes 530035560
6.8 x 10 x 4.4 inches,8 ounces,http://www.amazon.com/Mobil-M1-110-Extended-Performance-Filter/dp/B005GYDBNS,$9.50,131,Replacement Parts,Automotive,51,Mobil 1 M1-110 Extended Performance Oil Filter
13.5 x 13.5 x 19.5 inches,14.8 pounds,http://www.amazon.com/Shop-Vac-5986000-5-Gallon-Stainless-Vacuum/dp/B00EPH63K0,$62.99,457,Vacuums & Floor Care,Home & Kitchen,191,Shop-Vac 5986000 5-Gallon 4.5 Peak HP Stainless Steel Wet Dry Vacuum
9 x 2 x 8 inches,5.6 ounces,http://www.amazon.com/CF10285-Fresh-Breeze-Cabin-Filter/dp/B001CEG90I,$13.88,835,Replacement Parts,Automotive,32,FRAM CF10285 Fresh Breeze Cabin Air Filter
2.7 x 1 x 1 inches,1 ounces,http://www.amazon.com/Charger-EleckeyTM-Portable-Adapter-Samsung/dp/B00P7VSRFC,$10.99,514,Portable Audio & Video,Electronics,311,"Car Charger, EleckeyTM 2.1A Dual USB Port Car Charger Portable Travel Charger Rapid Car Charger Auto Adapter for iPhone 6 Plus/6/5S/5/4, iPad, Ipod , Samsung Galaxy, Smart Phone, Tablets (Black)"
100 x 2 x 2 inches,6.4 ounces,http://www.amazon.com/LAMPHUS-CRUIZER-Light-Wiring-Harness/dp/B00D1CQVIY,$16.37,632,Replacement Parts,Automotive,17,LAMPHUS CRUIZER Off Road ATV/Jeep LED Light Bar Wiring Harness Kit - 40 Amp Relay ON/OFF Switch
