dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name
,1.8 pounds,http://www.amazon.com/Whirlpool-0W10712394-W10712394-Adjuster-KIT/dp/B00SPYDSFC,$34.93,132,Dishwashers,Appliances,19,Whirlpool W10712394 Adjuster KIT
,1 pounds,http://www.amazon.com/PACK-3392519-Whirlpool-KitchenAid-Thermofuse/dp/B00MZH0OPC,$5.47,66,Parts & Accessories,Appliances,59,( 2 PACK ) 3392519 - DRYER THERMAL FUSE for Whirlpool Kenmore Sears Maytag Roper KitchenAid Amana Admiral and others - Thermofuse located on Blower wheel cover area
25 x 5.5 x 5.5 inches,12.8 ounces,http://www.amazon.com/WLF-01-Repalcement-filter-LT700P-ADQ36006101/dp/B00NMLGQJI,$50.99,27,Parts & Accessories,Appliances,56,"3 X WLF-01 - Repalcement filter for LT700P, ADQ36006101 - Triple Pack"
18.6 x 17.7 x 33.9 inches,39.5 pounds,http://www.amazon.com/WHS-121LB1-Compact-Reversible-Refrigerator-Freezer/dp/B00JXQ4PFS,$104.94,35,Refrigerators,Appliances,57,"midea WHS-121LB1 Compact Single Reversible Door Refrigerator and Freezer, 3.3 Cubic Feet, Black"
15.6 x 20.2 x 12 inches,32 pounds,http://www.amazon.com/Danby-cu-ft-Countertop-Microwave-Black/dp/B004ZU09QQ,$74.99,865,Kitchen & Dining,Home & Kitchen,58,"Danby 1.1 cu.ft. Countertop Microwave, Black"
16.2 x 13.1 x 12.8 inches,6.4 pounds,http://www.amazon.com/WasherTM-Wonderwash-Clothes-Washing-Machine/dp/B00OTYK3O6,$59.00,60,Washers & Dryers,Appliances,55,"EasyGo WasherTM Rapid Mobile Wonderwash Clothes Washing Machine Pod - Wonderful for Mini Loads, Apartments, Boats, RV, Cabins and Camping. 100% Satisfaction Guaranteed"
16 x 12 x 6 inches,8 ounces,http://www.amazon.com/316075103-Element-Frigidaire-Electrolux-Kenmore/dp/B0050KKS5C,$16.50,340,Parts & Accessories,Appliances,51,"316075103 Bake Element Repair Part for Frigidaire, Electrolux, Kenmore, and More ERB5103"
7.5 x 8 x 1.5 inches,1.8 pounds,http://www.amazon.com/Certified-Appliance-90-1028-3-wire-Dryer/dp/B00C7MWQS8,$20.09,39,Power & Hand Tools,Tools & Home Improvement,52,Certified Appliance 90-1028 3-wire Dryer Cord (10ft)
20.9 x 20.7 x 32.7 inches,57.8 pounds,http://www.amazon.com/Danby-Designer-DCR044A2BDD-Refrigerator-4-4-Cubic/dp/B00MO6V9CQ,$154.49,991,Refrigerators,Appliances,54,"Danby Designer DCR044A2BDD Compact Refrigerator, 4.4-Cubic Feet, Black"
14 x 14 x 24 inches,17 pounds,http://www.amazon.com/The-Laundry-Alternative-Ventless-Apartment/dp/B00CDWTQKI,$159.00,253,Washers & Dryers,Appliances,49,"The Laundry Alternative Nina Soft Spin Dryer, Ventless Portable Electric Dryer. 3 Year Warranty, 110V Apartment Size, Saves You Time And Money!"
