dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name
4.8 x 4 x 3.2 inches,1.2 pounds,http://www.amazon.com/Elmers-Washable-All-Purpose-School-E556/dp/B0013CDGT6,$9.99,467,Office & School Supplies,Office Products,27,"Elmer's Washable All-Purpose School Glue Sticks, 0.24 oz, Pack of 30 (E556)"
5.6 x 1.4 x 5.8 inches,0.3 ounces,http://www.amazon.com/Brother-Laminated-Black-White-TZe2312PK/dp/B0013CED4I,$18.99,"1,069",Accessories & Supplies,Electronics,29,Brother Laminated Black On White Tape 2Pack (TZe2312PK)
1.1 x 3 x 5.6 inches,4.2 ounces,http://www.amazon.com/Expo-Low-Odor-Erase-Markers-12-Pack/dp/B0006HXJFK,$8.09,436,Office & School Supplies,Office Products,31,"Expo Low-Odor Dry Erase Markers, Fine Point, 12-Pack, Black"
2.1 x 5.2 x 1.2 inches,1.8 ounces,http://www.amazon.com/Expo-Whiteboard-Erase-Eraser-8-inch/dp/B000SHQ73Y,$2.52,365,Office & School Supplies,Office Products,25,"Expo Whiteboard / Dry Erase Board Soft Pile Eraser, 5 1/8-inch"
12 x 2.5 x 10 inches,1.6 ounces,http://www.amazon.com/Oxford-Pocket-Folders-Assorted-57513/dp/B000DZ9XGO,$6.49,344,Office & School Supplies,Office Products,26,"Oxford Twin Pocket Folders, Letter Size, Assorted Colors, 25 per Box (57513)"
4.2 x 2.8 x 6.5 inches,10.4 ounces,http://www.amazon.com/BIC-Round-Medium-Point-60-Count/dp/B0012YVGOW,$4.79,"2,126",Office & School Supplies,Office Products,24,"BIC Round Stic Xtra Life Ball Pen, Medium Point (1.0 mm), Black, 60-Count"
3 x 0.8 x 5 inches,2 pounds,http://www.amazon.com/Mead-Index-Cards-Ruled-63350/dp/B0010XUO52,$3.89,156,Office & School Supplies,Office Products,23,"Mead Index Cards, Ruled, 3 x 5 Inch, White, 100 Per Pack (63350)"
7.7 x 3.8 x 2.5 inches,0.3 ounces,http://www.amazon.com/Dixon-Ticonderoga-Wood-Cased-Pencils-Yellow/dp/B00125Q75Y,$14.27,"1,267",Office & School Supplies,Office Products,22,"Dixon Ticonderoga Wood-Cased #2 HB Pencils, Box of 96, Yellow (13882)"
7.6 x 1.9 x 0.7 inches,0.3 ounces,http://www.amazon.com/Dixon-Ticonderoga-Wood-Cased-Pencils-13882/dp/B001AZ1D3C,$2.94,"1,267",Office & School Supplies,Office Products,21,"Dixon Ticonderoga Wood-Cased Pencils, #2 HB, Yellow,  Box of 12 (13882)"
6 x 4 x 8 inches,1.3 pounds,http://www.amazon.com/Paper-Mate-Ballpoint-1781564-Assorted/dp/B004U9TEEA,$3.39,"1,315",Office & School Supplies,Office Products,18,"Paper Mate InkJoy Ballpoint Pen 1781564, Assorted Colors, 8-Pack"
1.9 x 0.7 x 7.6 inches,2.4 ounces,http://www.amazon.com/Paper-Mate-Mirado-Warrior-Pencils/dp/B00006IEES,$2.37,395,Office & School Supplies,Office Products,16,"Paper Mate 12 Count #2 Mirado Black Warrior Lead Pencils, Medium Soft (2254)"
14.4 x 4.4 x 8 inches,1.8 pounds,http://www.amazon.com/Brother-TN450-Yield-Black-Toner/dp/B003YFHCKY,$47.98,"3,169",Office & School Supplies,Office Products,17,Brother TN450  High Yield Black Toner - Retail Packaging
0.8 x 7.2 x 2.8 inches,3 ounces,http://www.amazon.com/Pentel-Hi-polymer-Block-Eraser-ZEH10BP3-K6/dp/B001Q4HQVU,$2.28,306,Office & School Supplies,Office Products,17,"Pentel Hi-polymer Block Eraser, Large, 3 Pack, White  (ZEH10BP3-K6)"
8.2 x 8.7 x 2 inches,10.2 ounces,http://www.amazon.com/Expo-Low-Odor-Markers-16-Pack-Assorted/dp/B000J09OLM,$9.82,"1,155",Office & School Supplies,Office Products,15,"Expo 2 Low-Odor Dry Erase Markers, Chisel Tip, 16-Pack, Assorted Colors"
